en,uk
blessing,благословення
homeless,бездомний
participate,приймати участь
hello,привіт
community,громада
figure,фігура
catch,виловити
pool,басейн
pork,свинина
hi,привіт
sorry,прошу вибачення
preoccupation,затурбованість
let me do,дозвольте зробити
traffic light on the street,світлофор на вулиці
people,люди
man,людина
on,на
picky,вибагливий
map,карта
hilarious,веселий
sad,сумний
active,активний
colorful,барвистий
love,кохати
love,кохання
conscious,свідомий
unconscious,непритомний
happy,щасливий
pleasantly,приємно
nice,приємно
humane,людяний
sedentary,осідлий
sugar,цукор
manner,манера
destitute,злиденний
harmful,шкідливий
deny,заперечити
porch,ґанок
hospital,шпиталь
shin,гомілка
hang out,вештатись
ace,туз
dictionary,словник
entrance,вихід
